ID,PlayerName,GamesPlayed,GamesStarted,MinutesPerGame,OffensiveRebounds,DeffensiveRebounds,TotalRebounds,ReboundsPerGame
116,G. Yabusele,9,0,21.3,14,26,40,4.4
117,C. Boucher,11,0,18.8,11,36,47,4.3
118,T. Haliburton,10,10,34.8,7,36,43,4.3
119,B. Hield,10,1,24.9,7,36,43,4.3
120,T. Jackson-Davis,10,10,16.8,9,34,43,4.3
121,J. Kuminga,10,3,24.0,12,31,43,4.3
122,J. Mogbo,11,1,16.0,26,21,47,4.3
123,D. Roddy,9,1,20.3,4,35,39,4.3
124,N. Jovic,9,8,19.8,7,31,38,4.2
125,S. Pippen Jr.,11,2,25.5,6,40,46,4.2
126,T. Young,11,11,36.5,11,35,46,4.2
127,B. Beal,8,8,35.5,6,27,33,4.1
128,C. Johnson,11,11,33.7,6,39,45,4.1
129,D. DeRozan,11,11,38.2,6,38,44,4.0
130,L. Kornet,10,2,16.9,21,19,40,4.0
131,J. Murray,7,7,35.3,3,25,28,4.0
132,R. Westbrook,10,3,24.6,10,30,40,4.0
133,A. Wiggins,11,4,21.5,13,31,44,4.0
134,D. Booker,10,10,37.3,12,27,39,3.9
135,K. Dunn,11,0,21.6,10,33,43,3.9
136,S. Hauser,8,0,20.5,8,23,31,3.9
137,N. Marshall,10,3,23.2,9,30,39,3.9
138,F. VanVleet,10,10,35.6,9,30,39,3.9
139,K. Filipowski,8,3,14.8,4,26,30,3.8
140,J. Grant,11,11,32.7,4,38,42,3.8
141,J. Holiday,11,11,30.8,7,35,42,3.8
142,C. Paul,11,11,28.5,5,37,42,3.8
143,T. Salaun,8,2,16.8,6,24,30,3.8
144,J. Sims,9,0,13.2,13,21,34,3.8
145,C. White,11,11,33.6,2,40,42,3.8
146,K. Anderson,10,0,16.7,10,27,37,3.7
147,J. Clarkson,7,2,23.9,4,22,26,3.7
148,N. Clowney,9,1,16.3,12,21,33,3.7
149,S. Fontecchio,11,0,18.6,9,32,41,3.7
150,K. Thompson,10,10,30.1,6,31,37,3.7
151,T. Mann,11,11,22.7,16,25,41,3.7
152,H. Barnes,11,11,28.6,17,23,40,3.6
153,M. Bridges,9,9,37.8,11,21,32,3.6
154,D. Brooks,11,11,32.0,15,25,40,3.6
155,T. Bryant,7,0,12.7,6,19,25,3.6
156,J. Isaac,8,0,14.0,15,14,29,3.6
157,B. Boston Jr.,8,4,26.9,6,22,28,3.5
158,D. DiVincenzo,10,0,27.5,5,30,35,3.5
159,L. Dort,11,11,27.3,9,29,38,3.5
160,D. Jones Jr.,11,11,27.2,17,22,39,3.5
161,K. Porter,11,0,16.5,7,31,38,3.5
162,Z. Risacher,11,9,27.0,15,24,39,3.5
163,D. Theis,11,5,14.3,8,31,39,3.5
164,D. Mitchell,12,12,30.7,6,35,41,3.4
165,J. Robinson-Earl,11,2,17.5,20,17,37,3.4
166,C. Thomas,11,11,34.5,4,33,37,3.4
167,K. Huerter,9,9,25.8,4,26,30,3.3
168,G. Niang,12,0,18.4,7,33,40,3.3
169,N. Powell,11,11,34.4,4,32,36,3.3
170,J. Wells,11,6,25.8,9,27,36,3.3
171,T. Lyles,11,0,15.9,7,28,35,3.2
172,C. Wallace,11,4,24.7,9,26,35,3.2
173,J. Wilson,11,0,21.8,12,23,35,3.2
174,B. Clarke,11,2,15.1,9,25,34,3.1
175,J. Green,11,1,22.3,8,26,34,3.1
176,I. Joe,11,4,21.9,10,24,34,3.1
177,O. Toppin,9,0,20.8,9,19,28,3.1
178,P. Watson,10,3,23.2,11,20,31,3.1
179,Z. Collins,11,0,13.9,12,21,33,3.0
180,O. Dieng,11,0,12.0,6,27,33,3.0
181,H. Highsmith,7,1,22.9,5,16,21,3.0
182,T. Jones,10,10,32.4,6,24,30,3.0
183,T. Maxey,7,7,39.7,0,21,21,3.0
184,M. Monk,10,0,25.0,0,30,30,3.0
185,N. Batum,11,0,17.7,8,24,32,2.9
186,J. Brunson,9,9,34.6,4,22,26,2.9
187,A. Caruso,11,0,19.5,9,23,32,2.9
188,M. Conley,10,10,23.4,8,21,29,2.9
189,K. George,8,8,31.8,4,19,23,2.9
190,S. Henderson,11,0,25.8,7,25,32,2.9
