ID,Name,GamesPlayed,GamesStarted,MinutesPerGame,PointsPerGame,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,ThreePointFieldGoalsMade,ThreePointFieldGoalsAttempted,ThreePointFieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage
277,R. Rollins,8,0,5.8,2.1,6,11,54.5,2,4,50.0,3,4,75.0
278,D. Wright,7,0,13.0,2.1,6,14,42.9,3,7,42.9,0,0,—
279,S. Milton,8,0,9.3,1.8,4,13,30.8,4,12,33.3,2,2,100.0
280,X. Tillman,9,1,10.2,1.7,6,23,26.1,3,14,21.4,0,0,—
281,D. Jones,10,0,6.7,1.6,7,23,30.4,1,13,7.7,1,4,25.0
282,J. Sims,9,0,13.2,1.3,6,9,66.7,0,0,—,0,2,0.0
283,A. Gill,7,0,3.0,1.1,3,5,60.0,1,2,50.0,1,2,50.0
284,O. Prosper,7,0,6.3,1.1,4,13,30.8,0,2,0.0,0,0,—
285,J. Walsh,9,0,10.4,1.1,4,16,25.0,2,13,15.4,0,1,0.0
286,Y. Kawamura,8,0,3.3,1.0,2,11,18.2,1,8,12.5,3,4,75.0
287,A. Len,8,0,7.8,1.0,3,7,42.9,0,2,0.0,2,4,50.0
288,J. McLaughlin,8,0,5.4,1.0,3,10,30.0,2,7,28.6,0,0,—
